,ID,Date,Time,Event,Status,Latitude,Longitude,MaxWind
0,EP011949,"[19490611, 19490611, 19490611, 19490611, 19490612, 19490612, 19490612]","[0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS']","[20.2, 20.2, 20.2, 20.3, 20.4, 20.5, 20.6]","[106.3, 106.4, 106.7, 107.7, 108.6, 109.4, 110.2]","[45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0]"
1,EP021949,"[19490617, 19490617, 19490618, 19490618, 19490618, 19490618, 19490619, 19490619, 19490619, 19490619, 19490620, 19490620, 19490620, 19490620, 19490621, 19490621, 19490621, 19490621, 19490622, 19490622, 19490622, 19490622, 19490623, 19490623, 19490623]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS']","[14.1, 14.6, 15.0, 15.4, 15.7, 16.0, 16.3, 16.7, 17.1, 17.5, 18.0, 18.4, 18.9, 19.4, 19.9, 20.4, 21.0, 21.5, 22.0, 22.5, 23.1, 23.9, 24.7, 25.4, 26.0]","[107.0, 107.7, 108.4, 109.2, 110.0, 110.8, 111.6, 112.3, 112.9, 113.5, 114.1, 114.6, 115.1, 115.6, 116.0, 116.4, 116.7, 117.1, 117.5, 117.8, 118.0, 118.0, 117.7, 117.4, 117.0]","[45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0]"
2,EP031949,"[19490903, 19490903, 19490904, 19490904, 19490904, 19490904, 19490905, 19490905, 19490905, 19490905, 19490906, 19490906, 19490906, 19490906, 19490907, 19490907, 19490907, 19490907, 19490908, 19490908, 19490908, 19490908, 19490909, 19490909, 19490909]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS']","[17.3, 17.6, 17.9, 18.4, 18.8, 18.9, 19.0, 19.0, 19.1, 19.6, 20.2, 20.7, 21.2, 22.0, 22.9, 23.8, 24.8, 25.5, 26.2, 27.6, 28.6, 28.4, 28.2, 28.1, 28.0]","[106.3, 106.6, 106.8, 106.8, 106.9, 106.9, 107.0, 107.1, 107.2, 107.9, 108.8, 109.4, 110.0, 110.8, 111.7, 112.8, 113.8, 114.5, 115.2, 115.9, 116.4, 116.4, 116.4, 116.4, 116.5]","[45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0]"
3,EP041949,"[19490909, 19490909, 19490910, 19490910, 19490910, 19490910, 19490911, 19490911, 19490911]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU']","[19.3, 20.2, 21.2, 21.8, 22.5, 23.2, 23.9, 24.3, 24.5]","[108.6, 109.4, 110.2, 110.6, 110.9, 111.0, 111.0, 111.0, 110.9]","[75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0]"
4,EP051949,"[19490917, 19490917, 19490918, 19490918, 19490918, 19490918, 19490919, 19490919, 19490919]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS']","[15.4, 15.8, 16.5, 17.7, 18.7, 19.0, 19.3, 19.7, 20.1]","[101.3, 102.8, 103.9, 104.6, 105.4, 106.1, 106.7, 107.3, 107.9]","[45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0]"
5,EP061949,"[19490929, 19490929, 19490929, 19490929, 19490930, 19490930, 19490930]","[0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TD', ' TS', ' HU', ' HU', ' TS', ' TS', ' TD']","[16.1, 17.0, 17.9, 18.6, 18.8, 18.2, 16.7]","[107.4, 107.2, 107.3, 107.9, 108.8, 110.1, 111.6]","[25.0, 45.0, 75.0, 75.0, 45.0, 45.0, 25.0]"
6,EP011950,"[19500614, 19500614, 19500615, 19500615, 19500615, 19500615, 19500616, 19500616, 19500616, 19500616, 19500617, 19500617, 19500617, 19500617, 19500618, 19500618, 19500618, 19500618, 19500619, 19500619, 19500619]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU']","[14.1, 14.2, 14.4, 14.8, 15.2, 15.4, 15.6, 15.9, 16.1, 16.1, 16.2, 16.4, 16.6, 16.8, 17.0, 17.4, 18.1, 19.0, 20.0, 20.8, 21.5]","[98.2, 98.5, 98.9, 99.5, 99.9, 100.0, 100.1, 100.2, 100.3, 100.6, 101.1, 101.6, 102.1, 102.8, 103.6, 105.0, 106.0, 106.0, 106.0, 106.0, 106.0]","[75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0]"
7,EP021950,"[19500703, 19500703, 19500704, 19500704, 19500704, 19500704, 19500705, 19500705, 19500705, 19500705, 19500706, 19500706, 19500706]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU']","[18.4, 19.0, 19.5, 20.2, 20.7, 21.0, 21.1, 21.2, 21.4, 21.8, 22.3, 22.8, 23.3]","[105.9, 106.3, 106.7, 107.2, 107.8, 108.4, 109.0, 109.7, 110.4, 111.2, 112.0, 112.8, 113.6]","[75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0]"
8,EP031950,"[19500709, 19500709, 19500710, 19500710, 19500710, 19500710, 19500711, 19500711, 19500711, 19500711, 19500712, 19500712, 19500712]","[1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU']","[16.1, 16.4, 16.7, 17.1, 17.5, 17.8, 18.0, 18.3, 18.6, 18.7, 18.6, 18.4, 18.1]","[108.0, 108.4, 108.9, 109.7, 110.5, 111.2, 112.0, 113.0, 114.0, 114.9, 115.9, 117.0, 118.0]","[75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0]"
9,CP011950,"[19500812, 19500812, 19500812, 19500812, 19500813, 19500813, 19500813, 19500813, 19500814, 19500814, 19500814, 19500814, 19500815, 19500815, 19500815, 19500815, 19500816, 19500816, 19500816, 19500816, 19500817, 19500817, 19500817, 19500817, 19500818, 19500818, 19500818, 19500818, 19500819, 19500819, 19500819, 19500819, 19500820, 19500820, 19500820, 19500820, 19500821, 19500821, 19500821]","[0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200, 1800, 0, 600, 1200]","['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']","[' TD', ' TD', ' TD', ' TD', ' TD', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' HU', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TS', ' TD']","[14.5, 14.9, 15.2, 15.5, 15.7, 15.9, 16.3, 16.6, 16.8, 17.5, 18.3, 19.3, 20.1, 20.7, 21.4, 22.3, 23.0, 23.7, 24.3, 24.7, 24.7, 24.5, 24.0, 23.6, 23.3, 22.8, 22.6, 22.5, 22.5, 22.6, 22.7, 23.2, 23.6, 24.1, 24.7, 25.3, 26.0, 26.7, 27.4]","[144.5, 144.8, 145.2, 145.6, 145.8, 146.3, 146.9, 147.6, 148.1, 149.1, 150.1, 151.3, 152.4, 153.4, 154.4, 155.6, 156.6, 157.5, 158.4, 159.6, 160.8, 161.6, 162.4, 163.1, 163.8, 164.7, 165.6, 166.5, 167.4, 168.7, 169.7, 170.4, 171.5, 172.4, 173.7, 174.3, 175.7, 176.9, 178.0]","[25.0, 25.0, 25.0, 25.0, 25.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 45.0, 25.0]"
